Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
KIRLOSENG,1463,0.0015089065143205412,1.0595120792154924,0.0006180222657782136,1.001201023426666
KOTAKBANK,1464,0.0016280518326118596,1.0642913246572205,0.002849215319245304,1.0055525055200407
KPIL,1460,0.0014778719577813676,1.0582175973714927,0.0006081914628893721,1.0011804111000342
KPITTECH,1464,0.0016254801805230922,1.0641832527588093,0.0017660938321316078,1.0034344861742237
KPRMILL,1462,0.0015887063101474015,1.0626007520861498,0.0015897487968343563,1.0030892037979562
LALPATHLAB,1461,0.0015308753892979998,1.0603349167466118,0.0007673136094187864,1.0014914304434
LATENTVIEW,1463,0.0016337002071925687,1.0644818515591141,0.0019866100680338036,1.003862326763522
LAURUSLABS,1455,0.0013495140236788649,1.0532943422226972,-0.0007970078677511392,0.9984500996296094
LEMONTREE,1464,0.0016181912330571007,1.0638770590179536,0.0017452097901749705,1.0033937355804714
LICHSGFIN,1460,0.0015768060471787408,1.0621440066760588,0.0012350337260015876,1.0023996802125907
LICI,1464,0.0014508607944684838,1.0572147084592318,-0.002900373640303099,0.9943637680973846
LINDEINDIA,1462,0.001512833445256529,1.0597262470716569,-0.00224714331340458,0.9956312943803521
LLOYDSME,1462,0.0016832314467164797,1.0665184513966706,0.002733643112410245,1.0053187659064224
LODHA,1459,0.0014270192871199034,1.056170408525689,0.0015626543095023412,1.0030351828281354
LT,1462,0.001593505667211089,1.0627994429306995,0.001777944561713227,1.0034575140787154
LTF,1460,0.0016256132930079984,1.0641149669653893,0.0023122220453326036,1.0044977261423187
LTFOODS,1463,0.0016234382156925476,1.0640508695147393,0.0019392329835802656,1.0037698699614457
LTM,1462,0.0014842040999591217,1.0584496435380006,-0.0026839568241624474,0.9947914513439002
LUPIN,1455,0.0015641109562584577,1.061464118793264,-0.0003309620355388531,0.999358249544328
M&M,1459,0.0012198339100243547,1.048095797316444,-0.007815811575305998,0.9847922798049507
M&MFIN,1463,0.0015879155190229055,1.0626857315173346,0.0012004671440230897,1.0023343463151504
MAHABANK,1462,0.0016306964038358047,1.0643392719588758,0.0019519286805298355,1.0037954536842932
MANAPPURAM,1457,0.0015129908036448701,1.0595604788632491,0.0011276502921963327,1.0021921026822036
MANKIND,1464,0.0016046973733174312,1.0633106744212566,0.0017958549892575367,1.0034925642167138
MANYAVAR,1462,0.0017059688590887426,1.067477626977194,0.003068357626803394,1.0059739001789298
MAPMYINDIA,1464,0.0016115151151171534,1.0635967635499057,0.0017030430567155012,1.0033114666037453
MARICO,1462,0.0016591085906099668,1.0655027136775503,0.0028745013424995667,1.005594362673209
MARUTI,1462,0.0015510049559302244,1.0610803371330741,0.00045690839447524393,1.0008878655233717
MASTEK,1464,0.001616166201108738,1.063792022850757,0.0019463416935221333,1.0037863376682843
MAXHEALTH,1462,0.0016245474750960838,1.0640819154873695,0.002549380138537094,1.0049605550685081
MAZDOCK,1462,0.0015121880561470462,1.0596119899079728,0.0003715542275390259,1.000721495738855
MCX,1455,0.0014147924279310747,1.0557011690630405,-0.002768461989369509,0.9946246417113944
MEDANTA,1459,0.0013863085691320275,1.0545652982609224,-0.004353302269828069,0.9915585168980072
MFSL,1460,0.0017034089397263187,1.0672711902688057,0.004441949897052475,1.0086594231157429
MGL,1462,0.0016057989656264925,1.0633118282084124,0.0017348500642986949,1.0033707428499312
MHRIL,1464,0.0016198198733283948,1.0639454595694602,0.0020783030785283857,1.0040440883986486
MINDACORP,1462,0.0016910986147795765,1.0668501320475348,0.003102780002430855,1.0060413232676446
MMTC,1462,0.0011138725601245914,1.0439886719209688,-0.0066268677264565866,0.9871226542269518
MOTHERSON,1458,0.0016958861670127996,1.0669533413618222,0.0037172995740624866,1.007241050427477
MOTILALOFS,1461,0.0014252434047545303,1.0561290837793347,-0.0011271025839103654,0.9978131742818654
MPHASIS,1463,0.0016330094555991807,1.0644528304870313,0.002339266359467228,1.004551074270604
MRF,1462,0.0015847063357499914,1.0624343009786175,0.0009451534991169946,1.001835351745414
MRPL,1461,0.0015006438633765253,1.0592398259456586,0.0007771995910269358,1.0015106449269584
MSUMI,1463,0.0015481121628294465,1.061070464310668,0.0004921875409696542,1.0009570742342644
MUTHOOTFIN,1455,0.001619925782726187,1.0637339318055368,0.0034017361692793434,1.0066283588107154
NAM-INDIA,1454,0.0017189774689885969,1.0678619157942033,0.004333735156854788,1.0084353253473193
NATCOPHARM,1460,0.001481290522841427,1.0583895015084515,0.0012874608351794137,1.0025056636531595
NATIONALUM,1457,0.0012293767092165025,1.0487277917728788,-0.006618254672489501,0.9871083454139943
NAUKRI,1462,0.0015977200645437074,1.0629550208218825,0.001574391667312972,1.0030576497773398
NAVA,1462,0.0016230225193545594,1.063986849314816,0.001965891335300083,1.003819269533039
NAVINFLUOR,1455,0.0018267439411303367,1.0722921565410988,0.005155873759314418,1.0100389602826696
NAZARA,1464,0.0016427444024285248,1.064909190923972,0.0018906685275862822,1.0036776349456822
NBCC,1462,0.0014978802332980753,1.059056083666073,-0.00010757428867253838,0.9997910924499976
NCC,1461,0.0016770417685901013,1.0663310560530144,0.0026637576171421175,1.0051835597932153
NESTLEIND,1463,0.0016209419522911152,1.0639460844720028,0.0022072476159309255,1.0042931273584048
NETWEB,1463,0.0015151625965644246,1.059888768233113,0.0004297986324833785,1.0008357570292443
NEULANDLAB,1463,0.0015974387758794456,1.0630181488247126,0.0016895401765000143,1.0032853642891835
NEWGEN,1464,0.0015355876286836769,1.0605559119273922,0.0003510358552960485,1.0006821602082878
NH,1461,0.0013929596322405427,1.054939185703076,0.001145578314838742,1.0022363492063386
NHPC,1463,0.0014475303955688835,1.0570966374392436,0.002763250654111805,1.0053803795359024
NIACL,1464,0.0016269703364340587,1.064245872854801,0.0020783030785283835,1.0040440883986486
NLCINDIA,1463,0.0016077792610007546,1.0634619714333275,0.001284895407013849,1.0024982904373294
NMDC,1460,0.001592881257374821,1.0627591407378498,0.0009364653164137653,1.0018177790965122
NSLNISP,1463,0.001629059430778614,1.0642869054824153,0.0020055776900244114,1.0038993470213482
